start,end,duration,activity,errorCode,description,IP,activityID
2017-08-02 11:35:00.000000,2017-08-03 11:44:00.000000,24:09:00.000000,scan,0,nmap args: -sU -T 0 ,192.168.220.51,1
2017-08-03 11:44:31.113361,2017-08-03 12:13:38.986912,0:29:07.873551,scan,0,nmap args: -sF -T 2,192.168.220.51,2
2017-08-03 12:25:00.730032,2017-08-03 12:27:53.848766,0:02:53.118734,scan,0,nmap args: -sF -T 3,192.168.220.51,3
2017-08-03 12:36:52.955006,2017-08-03 15:10:21.191982,2:33:28.236976,scan,0,nmap args: -sF -T 2,192.168.220.51,4
2017-08-03 15:18:16.215692,2017-08-03 15:32:47.462217,0:14:31.246525,scan,0,nmap args: -n -sP -PE -T 2,192.168.220.51,5
2017-08-03 15:38:05.492608,2017-08-03 16:36:16.641021,0:58:11.148413,scan,0,nmap args: -sU -T 2,192.168.220.51,6
2017-08-03 16:41:17.747475,2017-08-03 16:46:52.075512,0:05:34.328037,scan,0,nmap args: -sA -T 3,192.168.220.51,7
2017-08-04 10:50:00.000000,2017-08-04 17:25:00.000000,6:35:00.000000,scan,0,nmap args: -sA -T 1,192.168.220.51,8
2017-08-04 17:43:29.551653,2017-08-04 17:49:12.533349,0:05:42.981696,scan,0,nmap args: -sF -T 3,192.168.220.51,9
2017-08-04 17:58:08.542952,2017-08-04 22:56:11.003771,4:58:02.460819,scan,0,nmap args: -sA -T 1,192.168.220.51,10
2017-08-07 11:19:35.897795,2017-08-07 11:26:42.207915,0:07:06.310120,scan,0,nmap args: -sF -T 3,192.168.220.51,11
2017-08-07 13:26:42.069672,2017-08-07 18:25:22.290536,4:58:40.220864,scan,0,nmap args: -sS -T 1,192.168.220.51,12
2017-08-07 18:56:05.502358,2017-08-07 23:56:59.029308,5:00:53.526950,scan,0,nmap args: -sU -T 1,192.168.220.51,13
2017-08-08 00:06:00.000000,2017-08-08 00:12:30.000000,0:06:30.000000,scan,0,nmap args: -sS -T 3,192.168.220.51,14
2017-08-08 00:25:00.000000,2017-08-08 09:55:00.000000,9:30:00.000000,scan,0,nmap args: -sS -T 1,192.168.220.51,15
2017-08-08 12:00:00.000000,2017-08-08 14:08:00.000000,2:08:00.000000,scan,0,nmap args: -sU -T 1,192.168.220.51,16
2017-08-08 14:12:47.924275,2017-08-08 14:19:15.224161,0:06:27.299886,scan,0,nmap args: -sA -T 3,192.168.220.51,17
2017-08-08 14:26:29.259452,2017-08-08 16:04:18.313748,1:37:49.054296,scan,0,nmap args: -sA -T 2,192.168.220.51,18
2017-08-08 16:12:17.381109,2017-08-08 17:05:30.237899,0:53:12.856790,scan,0,nmap args: -sU -T 2,192.168.220.51,19
2017-08-08 17:10:55.339732,2017-08-08 19:52:43.511983,2:41:48.172251,scan,0,nmap args: -sS -T 2,192.168.220.51,20
2017-08-10 09:17:03.287132,2017-08-10 11:35:30.646470,2:18:27.359338,scan,0,nmap args: -sS -T 2,192.168.220.51,21
2017-08-10 11:41:36.776127,2017-08-10 16:45:19.954159,5:03:43.178032,scan,0,nmap args: -sF -T 1,192.168.220.51,22
2017-08-10 16:54:58.061165,2017-08-10 17:14:43.852228,0:19:45.791063,scan,0,nmap args: -sU -T 3,192.168.220.51,23
2017-08-10 17:20:03.959221,2017-08-10 18:11:52.155516,0:51:48.196295,scan,0,nmap args: -sF -T 2,192.168.220.51,24
2017-08-10 18:29:57.132730,2017-08-10 18:34:37.547996,0:04:40.415266,scan,0,nmap args: -sF -T 3,192.168.220.51,25
2017-08-10 18:44:02.654742,2017-08-10 23:49:55.769766,5:05:53.115024,scan,0,nmap args: -sF -T 1,192.168.220.51,26
2017-08-11 09:04:15.407171,2017-08-11 14:02:28.893646,4:58:13.486475,scan,0,nmap args: -sS -T 1,192.168.220.51,27
2017-08-11 14:10:00.000000,2017-08-11 15:10:00.000000,0:50:00.000000,scan,0,nmap args: -sA -T 1,192.168.220.51,28
2017-08-11 15:52:18.807613,2017-08-12 03:23:44.203037,11:31:25.395424,scan,0,nmap args: -sS -T 1,192.168.220.51,29
2017-08-12 03:30:09.318352,2017-08-12 05:08:00.856801,1:37:51.538449,scan,0,nmap args: -sF -T 2,192.168.220.51,30
2017-08-12 05:14:39.964179,2017-08-12 10:17:58.946830,5:03:18.982651,scan,0,nmap args: -sU -T 1,192.168.220.51,31
2017-08-12 10:27:21.959686,2017-08-12 10:32:10.737482,0:04:48.777796,scan,0,nmap args: -sF -T 3,192.168.220.51,32
2017-08-12 10:39:52.799704,2017-08-12 15:44:34.722096,5:04:41.922392,scan,0,nmap args: -sF -T 1,192.168.220.51,33
2017-08-12 15:49:42.827271,2017-08-12 16:04:30.694691,0:14:47.867420,scan,0,nmap args: -n -sP -PE -T 2,192.168.220.51,34
