start,end,duration,activity,returnCode
2017-08-02 06:02:12.479542,2017-08-02 06:04:52.929755,0:02:40.450213,private,0
2017-08-02 06:04:52.935080,2017-08-02 06:05:54.270509,0:01:01.335429,mailing,0
2017-08-02 06:05:54.276214,2017-08-02 07:14:24.377263,1:08:30.101049,meeting,0
2017-08-02 07:14:24.384013,2017-08-02 07:56:50.485724,0:42:26.101711,meeting,0
2017-08-02 07:56:50.492617,2017-08-02 08:50:28.594364,0:53:38.101747,meeting,0
2017-08-02 08:50:28.601046,2017-08-02 08:51:37.424786,0:01:08.823740,browsing,0
2017-08-02 08:51:37.432043,2017-08-02 08:54:08.394323,0:02:30.962280,private,0
2017-08-02 08:54:08.408566,2017-08-02 08:55:54.581596,0:01:46.173030,private,0
2017-08-02 08:55:54.588163,2017-08-02 10:10:21.689697,1:14:27.101534,meeting,0
2017-08-02 10:10:21.697105,2017-08-02 10:11:23.261305,0:01:01.564200,mailing,0
2017-08-02 10:11:23.267135,2017-08-02 10:12:46.274114,0:01:23.006979,mailing,0
2017-08-02 10:12:46.279756,2017-08-02 10:13:37.225522,0:00:50.945766,mailing,0
2017-08-02 10:13:37.230960,2017-08-02 10:14:03.062826,0:00:25.831866,printing,0
2017-08-02 10:14:03.074014,2017-08-02 10:15:43.284676,0:01:40.210662,browsing,0
2017-08-02 10:15:43.292091,2017-08-02 10:19:55.234018,0:04:11.941927,private,0
2017-08-02 10:19:55.240781,2017-08-02 10:20:46.018673,0:00:50.777892,mailing,0
2017-08-02 10:20:46.023760,2017-08-02 10:24:00.737612,0:03:14.713852,private,0
2017-08-02 10:24:00.744040,2017-08-02 11:03:34.846339,0:39:34.102299,meeting,0
2017-08-02 11:03:34.853782,2017-08-02 11:04:30.433574,0:00:55.579792,printing,0
2017-08-02 11:04:30.439847,2017-08-02 11:05:47.321306,0:01:16.881459,private,0
2017-08-02 11:05:47.332137,2017-08-02 11:54:42.434223,0:48:55.102086,offline,0
2017-08-02 11:54:42.442956,2017-08-02 11:57:50.545183,0:03:08.102227,breaks,0
2017-08-02 11:57:50.553069,2017-08-02 12:00:35.687037,0:02:45.133968,browsing,0
2017-08-02 12:00:35.693503,2017-08-02 12:01:37.146943,0:01:01.453440,mailing,0
2017-08-02 12:01:37.152568,2017-08-02 12:02:28.763476,0:00:51.610908,mailing,0
2017-08-02 12:02:28.768504,2017-08-02 12:47:29.869842,0:45:01.101338,offline,0
2017-08-02 12:47:29.877391,2017-08-02 12:48:15.592460,0:00:45.715069,printing,0
2017-08-02 12:48:15.599858,2017-08-02 13:06:34.673783,0:18:19.073925,offline,0
2017-08-02 13:06:34.680611,2017-08-02 13:07:35.596114,0:01:00.915503,mailing,0
2017-08-02 13:07:35.601620,2017-08-02 13:08:26.176866,0:00:50.575246,mailing,0
2017-08-02 13:08:26.185182,2017-08-02 13:09:26.983725,0:01:00.798543,mailing,0
2017-08-02 13:09:26.989558,2017-08-02 14:51:11.091528,1:41:44.101970,meeting,0
2017-08-02 14:51:11.104444,2017-08-02 16:07:13.206329,1:16:02.101885,meeting,0
2017-08-02 16:07:13.213912,2017-08-02 16:08:13.759266,0:01:00.545354,mailing,0
2017-08-02 16:08:13.765052,2017-08-02 16:08:28.805994,0:00:15.040942,printing,0
2017-08-02 16:08:28.811942,2017-08-02 16:08:44.007014,0:00:15.195072,printing,0
2017-08-02 16:08:44.011832,2017-08-02 17:27:54.052676,1:19:10.040844,meeting,0
2017-08-02 17:27:54.061219,2017-08-02 18:12:59.163645,0:45:05.102426,meeting,0
2017-08-02 18:12:59.171950,2017-08-02 18:13:24.244539,0:00:25.072589,printing,0
2017-08-02 18:13:24.250548,2017-08-02 18:14:51.627855,0:01:27.377307,private,0
2017-08-02 18:14:51.635059,2017-08-02 18:15:41.957655,0:00:50.322596,mailing,0
2017-08-02 18:15:41.963235,2017-08-02 20:09:35.975710,1:53:54.012475,meeting,0
2017-08-03 06:06:20.864230,2017-08-03 06:08:04.058568,0:01:43.194338,private,0
2017-08-03 06:08:04.069031,2017-08-03 06:08:39.222591,0:00:35.153560,printing,0
2017-08-03 06:08:39.228840,2017-08-03 06:09:39.627518,0:01:00.398678,mailing,0
2017-08-03 06:09:39.633049,2017-08-03 06:10:39.851616,0:01:00.218567,mailing,0
2017-08-03 06:10:39.857324,2017-08-03 06:38:42.958610,0:28:03.101286,meeting,0
2017-08-03 06:38:42.967038,2017-08-03 06:42:52.911884,0:04:09.944846,private,0
2017-08-03 06:42:52.918780,2017-08-03 08:25:31.939515,1:42:39.020735,meeting,0
2017-08-03 08:25:31.947222,2017-08-03 08:58:10.049461,0:32:38.102239,offline,0
